exponent,min_runtime_old,min_runtime_new
2076,0.0008666900030220859,0.00019571000302676111
2077,0.0012328599987085909,0.00019961900397902355
2078,0.0007647500024177134,0.00012977000005776063
2079,0.0007541399972978979,0.00012620000052265823
2080,0.000992440000118222,0.00018604000069899485
2081,0.0007383199990727007,0.00014335999730974436
2082,0.0009149109973805025,0.00012733899347949773
2083,0.0007832800038158894,0.00012926999625051394
2084,0.0008613799946033396,0.0001448600014555268
2085,0.001193659998534713,0.00012427999899955466
2086,0.0008517300011590123,0.0001232799986610189
2087,0.0007939810020616278,0.00012760000390699133
2088,0.0008731999987503514,0.00016413000412285328
2089,0.0007763009998598136,0.0001237399992533028
2090,0.0007780400046613067,0.00012820000119972974
2091,0.0007379890012089163,0.00012459100253181532
2092,0.0007896399984019808,0.00016686000162735581
2093,0.0008696899967617355,0.0001784209962352179
2094,0.0005190299998503178,0.00012745999993057922
2095,0.0007560500016552396,0.00013300000136950985
2096,0.003229440000723116,0.00016735099779907614
2097,0.0010816700014402159,0.00015205999807221815
2098,0.0005439500018837862,0.00010668000322766602
2099,0.00106252000114182,0.00015983999765012413
2100,0.0006359899998642504,0.00012630100536625832
2101,0.006086839995987248,0.000107640000351239
2102,0.0008414199983235449,0.0001082700036931783
2103,0.0007481700013158843,0.00012553999840747565
2104,0.0005077999958302826,0.0001071900042006746
2105,0.0005079900001874194,0.0001242400030605495
2106,0.008850769998389296,0.0001080899965018034
2107,0.000765759999922011,0.00010907999967457727
2108,0.0005689300014637411,0.00010796999413287267
2109,0.0007019399999990128,0.00013346999912755564
2110,0.0008453199989162385,0.0001345000055152923
2111,0.0007363900003838353,0.0001269000058528036
2112,0.0007960399962030351,0.00012446999608073384
2113,0.0005481099942699075,0.00010795999696711078
2114,0.000764000003982801,0.00012244000390637666
2115,0.0008159600038197823,0.0001293299937970005
2116,0.0008020800014492124,0.00015617000462953
2117,0.0008226199934142642,0.0002023599954554811
2118,0.0007835489959688857,0.00013382000179262832
2119,0.0005995499959681183,0.0001363709961879067
2120,0.004873059006058611,0.00012912000238429755
2121,0.0016095099999802187,0.000136160000693053
2122,0.0008487489976687357,0.0001584999990882352
2123,0.0007290700013982132,0.00020221000158926472
2124,0.0012647900002775714,0.00016659999528201297
2125,0.0011765899980673566,0.00014668999938294291
2126,0.0011462399997981265,0.00015983000048436224
2127,0.05377473599946825,0.00012863000301877037
2128,0.0008377300036954693,0.00012805999722331762
2129,0.0019332400042912923,0.0001279499992961064
2130,0.0009742800029926002,0.00012788000458385795
2131,0.0008040890024858527,0.00012888899800600484
2132,0.0008252089974121191,0.0001316399939241819
2133,0.0008010499950614758,0.0001291290027438663
2134,0.0008063299974310212,0.00012886100012110546
2135,0.0009501399981672876,0.00013460000627674162
2136,0.0009771089971764013,0.00013324899919098243
2137,0.0012300899979891255,0.0002430300010018982
2138,0.0010307799966540188,0.00013436999870464206
2139,0.0010107999987667426,0.00013518999912776053
2140,0.0012979899984202348,0.00016447999951196834
2141,0.0009560199978295714,0.00015438000264111906
2142,0.002347048997762613,0.00013685100566362962
2143,0.0009603700018487871,0.000141119999170769
